variant_id,surface_form,search_term,variable_key
surface_form_differential,differential,interfacial current density,Positive electrode SEI interfacial current density [A.m-2]
surface_form_differential,differential,interfacial current density,Positive electrode SEI on cracks interfacial current density [A.m-2]
surface_form_differential,differential,interfacial current density,Positive electrode SEI on cracks volumetric interfacial current density [A.m-3]
surface_form_differential,differential,interfacial current density,Positive electrode SEI volumetric interfacial current density [A.m-3]
surface_form_differential,differential,interfacial current density,Positive electrode interfacial current density [A.m-2]
surface_form_differential,differential,interfacial current density,Positive electrode lithium plating interfacial current density [A.m-2]
surface_form_differential,differential,interfacial current density,Positive electrode lithium plating volumetric interfacial current density [A.m-3]
surface_form_differential,differential,interfacial current density,Positive electrode volumetric interfacial current density [A.m-3]
surface_form_differential,differential,interfacial current density,X-averaged negative electrode SEI interfacial current density [A.m-2]
surface_form_differential,differential,interfacial current density,X-averaged negative electrode SEI on cracks interfacial current density [A.m-2]
surface_form_differential,differential,interfacial current density,X-averaged negative electrode SEI on cracks volumetric interfacial current density [A.m-3]
surface_form_differential,differential,interfacial current density,X-averaged negative electrode SEI volumetric interfacial current density [A.m-3]
surface_form_differential,differential,interfacial current density,X-averaged negative electrode interfacial current density [A.m-2]
surface_form_differential,differential,interfacial current density,X-averaged negative electrode lithium plating interfacial current density [A.m-2]
surface_form_differential,differential,interfacial current density,X-averaged negative electrode lithium plating volumetric interfacial current density [A.m-3]
surface_form_differential,differential,interfacial current density,X-averaged negative electrode total interfacial current density [A.m-2]
surface_form_differential,differential,interfacial current density,X-averaged negative electrode total volumetric interfacial current density [A.m-3]
surface_form_differential,differential,interfacial current density,X-averaged negative electrode volumetric interfacial current density [A.m-3]
surface_form_differential,differential,interfacial current density,X-averaged positive electrode SEI interfacial current density [A.m-2]
surface_form_differential,differential,interfacial current density,X-averaged positive electrode SEI on cracks interfacial current density [A.m-2]
surface_form_differential,differential,interfacial current density,X-averaged positive electrode SEI on cracks volumetric interfacial current density [A.m-3]
surface_form_differential,differential,interfacial current density,X-averaged positive electrode SEI volumetric interfacial current density [A.m-3]
surface_form_differential,differential,interfacial current density,X-averaged positive electrode interfacial current density [A.m-2]
surface_form_differential,differential,interfacial current density,X-averaged positive electrode lithium plating interfacial current density [A.m-2]
surface_form_differential,differential,interfacial current density,X-averaged positive electrode lithium plating volumetric interfacial current density [A.m-3]
surface_form_differential,differential,interfacial current density,X-averaged positive electrode total interfacial current density [A.m-2]
surface_form_differential,differential,interfacial current density,X-averaged positive electrode total volumetric interfacial current density [A.m-3]
surface_form_differential,differential,interfacial current density,X-averaged positive electrode volumetric interfacial current density [A.m-3]
surface_form_differential,differential,reaction overpotential,Negative electrode lithium plating reaction overpotential [V]
surface_form_differential,differential,reaction overpotential,Negative electrode reaction overpotential [V]
surface_form_differential,differential,reaction overpotential,Positive electrode lithium plating reaction overpotential [V]
surface_form_differential,differential,reaction overpotential,Positive electrode reaction overpotential [V]
surface_form_differential,differential,reaction overpotential,X-averaged battery negative reaction overpotential [V]
surface_form_differential,differential,reaction overpotential,X-averaged battery positive reaction overpotential [V]
surface_form_differential,differential,reaction overpotential,X-averaged battery reaction overpotential [V]
surface_form_differential,differential,reaction overpotential,X-averaged negative electrode lithium plating reaction overpotential [V]
surface_form_differential,differential,reaction overpotential,X-averaged negative electrode reaction overpotential [V]
surface_form_differential,differential,reaction overpotential,X-averaged positive electrode lithium plating reaction overpotential [V]
surface_form_differential,differential,reaction overpotential,X-averaged positive electrode reaction overpotential [V]
surface_form_differential,differential,reaction overpotential,X-averaged reaction overpotential [V]
surface_form_differential,differential,surface potential difference,Negative electrode surface potential difference [V]
surface_form_differential,differential,surface potential difference,Negative electrode surface potential difference at separator interface [V]
surface_form_differential,differential,surface potential difference,Positive electrode surface potential difference [V]
surface_form_differential,differential,surface potential difference,Positive electrode surface potential difference at separator interface [V]
surface_form_differential,differential,surface potential difference,X-averaged negative electrode surface potential difference [V]
surface_form_differential,differential,surface potential difference,X-averaged positive electrode surface potential difference [V]
surface_form_differential,differential,total interfacial current,X-averaged negative electrode total interfacial current density [A.m-2]
surface_form_differential,differential,total interfacial current,X-averaged positive electrode total interfacial current density [A.m-2]
surface_form_false,false,exchange current,Exchange current density [A.m-2]
surface_form_false,false,exchange current,Negative electrode exchange current density [A.m-2]
surface_form_false,false,exchange current,Positive electrode exchange current density [A.m-2]
surface_form_false,false,exchange current,X-averaged negative electrode exchange current density [A.m-2]
surface_form_false,false,exchange current,X-averaged positive electrode exchange current density [A.m-2]
surface_form_false,false,interfacial current density,Interfacial current density [A.m-2]
surface_form_false,false,interfacial current density,Negative electrode SEI interfacial current density [A.m-2]
surface_form_false,false,interfacial current density,Negative electrode SEI on cracks interfacial current density [A.m-2]
surface_form_false,false,interfacial current density,Negative electrode SEI on cracks volumetric interfacial current density [A.m-3]
surface_form_false,false,interfacial current density,Negative electrode SEI volumetric interfacial current density [A.m-3]
surface_form_false,false,interfacial current density,Negative electrode interfacial current density [A.m-2]
surface_form_false,false,interfacial current density,Negative electrode lithium plating interfacial current density [A.m-2]
surface_form_false,false,interfacial current density,Negative electrode lithium plating volumetric interfacial current density [A.m-3]
surface_form_false,false,interfacial current density,Negative electrode volumetric interfacial current density [A.m-3]
surface_form_false,false,interfacial current density,Positive electrode SEI interfacial current density [A.m-2]
surface_form_false,false,interfacial current density,Positive electrode SEI on cracks interfacial current density [A.m-2]
surface_form_false,false,interfacial current density,Positive electrode SEI on cracks volumetric interfacial current density [A.m-3]
surface_form_false,false,interfacial current density,Positive electrode SEI volumetric interfacial current density [A.m-3]
surface_form_false,false,interfacial current density,Positive electrode interfacial current density [A.m-2]
surface_form_false,false,interfacial current density,Positive electrode lithium plating interfacial current density [A.m-2]
surface_form_false,false,interfacial current density,Positive electrode lithium plating volumetric interfacial current density [A.m-3]
surface_form_false,false,interfacial current density,Positive electrode volumetric interfacial current density [A.m-3]
surface_form_false,false,interfacial current density,X-averaged negative electrode SEI interfacial current density [A.m-2]
surface_form_false,false,interfacial current density,X-averaged negative electrode SEI on cracks interfacial current density [A.m-2]
surface_form_false,false,interfacial current density,X-averaged negative electrode SEI on cracks volumetric interfacial current density [A.m-3]
surface_form_false,false,interfacial current density,X-averaged negative electrode SEI volumetric interfacial current density [A.m-3]
surface_form_false,false,interfacial current density,X-averaged negative electrode interfacial current density [A.m-2]
surface_form_false,false,interfacial current density,X-averaged negative electrode lithium plating interfacial current density [A.m-2]
surface_form_false,false,interfacial current density,X-averaged negative electrode lithium plating volumetric interfacial current density [A.m-3]
surface_form_false,false,interfacial current density,X-averaged negative electrode total interfacial current density [A.m-2]
surface_form_false,false,interfacial current density,X-averaged negative electrode total volumetric interfacial current density [A.m-3]
surface_form_false,false,interfacial current density,X-averaged negative electrode volumetric interfacial current density [A.m-3]
surface_form_false,false,interfacial current density,X-averaged positive electrode SEI interfacial current density [A.m-2]
surface_form_false,false,interfacial current density,X-averaged positive electrode SEI on cracks interfacial current density [A.m-2]
surface_form_false,false,interfacial current density,X-averaged positive electrode SEI on cracks volumetric interfacial current density [A.m-3]
surface_form_false,false,interfacial current density,X-averaged positive electrode SEI volumetric interfacial current density [A.m-3]
surface_form_false,false,interfacial current density,X-averaged positive electrode interfacial current density [A.m-2]
surface_form_false,false,interfacial current density,X-averaged positive electrode lithium plating interfacial current density [A.m-2]
surface_form_false,false,interfacial current density,X-averaged positive electrode lithium plating volumetric interfacial current density [A.m-3]
surface_form_false,false,interfacial current density,X-averaged positive electrode total interfacial current density [A.m-2]
surface_form_false,false,interfacial current density,X-averaged positive electrode total volumetric interfacial current density [A.m-3]
surface_form_false,false,interfacial current density,X-averaged positive electrode volumetric interfacial current density [A.m-3]
surface_form_false,false,reaction overpotential,Negative electrode lithium plating reaction overpotential [V]
surface_form_false,false,reaction overpotential,Negative electrode reaction overpotential [V]
surface_form_false,false,reaction overpotential,Positive electrode lithium plating reaction overpotential [V]
surface_form_false,false,reaction overpotential,Positive electrode reaction overpotential [V]
surface_form_false,false,reaction overpotential,X-averaged battery negative reaction overpotential [V]
surface_form_false,false,reaction overpotential,X-averaged battery positive reaction overpotential [V]
surface_form_false,false,reaction overpotential,X-averaged battery reaction overpotential [V]
surface_form_false,false,reaction overpotential,X-averaged negative electrode lithium plating reaction overpotential [V]
surface_form_false,false,reaction overpotential,X-averaged negative electrode reaction overpotential [V]
surface_form_false,false,reaction overpotential,X-averaged positive electrode lithium plating reaction overpotential [V]
surface_form_false,false,reaction overpotential,X-averaged positive electrode reaction overpotential [V]
surface_form_false,false,reaction overpotential,X-averaged reaction overpotential [V]
surface_form_false,false,surface potential difference,Negative electrode surface potential difference [V]
surface_form_false,false,surface potential difference,Negative electrode surface potential difference at separator interface [V]
surface_form_false,false,surface potential difference,Positive electrode surface potential difference [V]
surface_form_false,false,surface potential difference,Positive electrode surface potential difference at separator interface [V]
surface_form_false,false,surface potential difference,X-averaged negative electrode surface potential difference [V]
surface_form_false,false,surface potential difference,X-averaged positive electrode surface potential difference [V]
surface_form_false,false,total interfacial current,X-averaged negative electrode total interfacial current density [A.m-2]
surface_form_false,false,total interfacial current,X-averaged positive electrode total interfacial current density [A.m-2]
